"nameLast","nameFirst","playerID","Age","year","reliability","mPA","mAB","mR","mH","m2B","m3B","mHR","mRBI","mSB","mCS","mBB","mSO","mIBB","mHBP","mSH","mSF","mGIDP"
"Selby","Bill","selbybi01",34,2004,0.50,240.00,217.00,24.00,49.00,11.00,2.00,6.00,28.00,2.00,1.00,19.00,39.00,2.00,1.00,1.00,2.00,4.00
"Servais","Scott","servasc01",37,2004,0.04,200.00,179.00,24.00,47.00,9.00,1.00,5.00,22.00,3.00,1.00,17.00,33.00,1.00,2.00,1.00,1.00,4.00
"Sexson","Richie","sexsori01",30,2004,0.87,624.00,544.00,84.00,148.00,28.00,2.00,34.00,103.00,2.00,2.00,69.00,132.00,6.00,7.00,0.00,4.00,16.00
"Sheets","Andy","sheetan01",33,2004,0.50,216.00,193.00,23.00,47.00,9.00,1.00,5.00,25.00,3.00,2.00,17.00,41.00,1.00,1.00,3.00,2.00,3.00
"Sheffield","Gary","sheffga01",36,2004,0.86,597.00,512.00,94.00,155.00,29.00,1.00,29.00,96.00,12.00,3.00,73.00,60.00,5.00,7.00,0.00,5.00,14.00
"Sheldon","Scott","sheldsc01",36,2004,0.24,200.00,180.00,23.00,44.00,9.00,1.00,5.00,22.00,2.00,1.00,14.00,38.00,1.00,2.00,2.00,2.00,4.00
"Shinjo","Tsuyoshi","shinjts01",32,2004,0.75,302.00,274.00,32.00,68.00,13.00,1.00,7.00,31.00,3.00,2.00,19.00,41.00,2.00,4.00,3.00,2.00,4.00
"Shumpert","Terry","shumpte01",38,2004,0.66,276.00,245.00,34.00,60.00,13.00,3.00,6.00,25.00,6.00,1.00,21.00,45.00,1.00,4.00,4.00,2.00,5.00
"Sierra","Ruben","sierrru01",39,2004,0.79,413.00,380.00,46.00,101.00,21.00,1.00,14.00,56.00,3.00,1.00,29.00,61.00,3.00,1.00,0.00,3.00,13.00
"Simmons","Brian","simmobr01",31,2004,0.23,200.00,180.00,22.00,44.00,9.00,1.00,5.00,21.00,2.00,1.00,16.00,34.00,1.00,2.00,1.00,1.00,3.00
"Simon","Randall","simonra01",29,2004,0.81,466.00,436.00,51.00,126.00,19.00,1.00,16.00,71.00,1.00,1.00,21.00,43.00,3.00,4.00,1.00,4.00,11.00
"Singleton","Chris","singlch01",32,2004,0.81,421.00,383.00,53.00,101.00,24.00,3.00,6.00,44.00,11.00,4.00,25.00,66.00,2.00,2.00,6.00,5.00,6.00
